DATE,TIME,WELL STATE,WELL LIQ PROD RATE SC,WELL LIQ PROD CUMU SC,WELL OIL PROD RATE SC,WELL OIL PROD CUMU SC,WELL GAS PROD RATE SC,WELL GAS PROD CUMU SC,WELL WATER PROD RATE SC,WELL WATER PROD CUMU SC,WELL GOR SC,WELL OCUT SC,WELL WCUT SC,WELL BHP,WELL BHPD,ZWPC_Z1,ZWPC_Z2,ZWPC_Z3,ZWPR_Z1,ZWPR_Z2,ZWPR_Z3,ZWCUT_Z1,ZWCUT_Z2,ZWCUT_Z3,ZOPC_Z1,ZOPC_Z2,ZOPC_Z3,ZOPR_Z1,ZOPR_Z2,ZOPR_Z3,ZGPC_Z1,ZGPC_Z2,ZGPC_Z3,ZGPR_Z1,ZGPR_Z2,ZGPR_Z3
2020-01-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-02-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-02-29,1247.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,418.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-03-31,1278.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,414.281,-0.149003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-04-30,1308.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,409.909,-0.145735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-05-31,1339.0,0.0,2730.0,84630.0,2730.0,84630.0,629528.0,19513400.0,0.000150333,0.00412978,230.59599999999998,1.0,5.50672e-08,345.457,-2.07907,0.0009144289999999999,0.00167519,0.00154017,3.6785799999999996e-05,6.701689999999999e-05,6.1399e-05,5.7637599999999995e-06,6.38577e-06,4.6787199999999995e-06,17780.0,29239.6,37610.4,638.225,1049.47,1312.3,4103540.0,6747990.0,8661840.0,147299.0,242129.0,302360
2020-06-30,1369.0,0.0,2730.0,166530.0,2730.0,166530.0,625226.0,38335400.0,0.00017156299999999998,0.00900932,229.021,1.0,6.28435e-08,341.444,-0.133785,0.00200645,0.00365739,0.00334548,4.2326e-05,7.66534e-05,6.95512e-05,6.62398e-06,7.301849999999999e-06,5.304239999999999e-06,35223.8,57895.4,73410.8,638.981,1049.78,1311.24,8114000.0,13327500.0,16893900.0,146302.0,240120.0,300640
2020-07-31,1400.0,0.0,2730.0,251160.0,2730.0,251160.0,620604.0,57633500.0,0.000187685,0.014615600000000001,227.327,1.0,6.87489e-08,338.57,-0.09271339999999999,0.00326926,0.00593845,0.00540793,4.65563e-05,8.394299999999999e-05,7.574739999999999e-05,7.30079e-06,8.015980000000001e-06,5.75975e-06,53220.1,87512.6,110427.0,637.689,1047.2,1315.12,12213800.0,20075900.0,25343800.0,144752.0,238009.0,299221
2020-08-31,1431.0,0.0,2730.0,335790.0,2730.0,335790.0,617224.0,76814700.0,0.00020564599999999998,0.0207372,226.08900000000003,1.0,7.53281e-08,335.44199999999995,-0.10089400000000001,0.00465393,0.00842834,0.00765493,5.11871e-05,9.185040000000001e-05,8.294690000000001e-05,7.91748e-06,9.021799999999999e-06,6.2113900000000005e-06,71331.5,116599.0,147860.0,646.507,1018.09,1335.4,16307400.0,26675100.0,33832100.0,145639.0,230641.0,301989
2020-09-30,1461.0,0.0,2730.0,417690.0,2730.0,417690.0,611485.0,95239500.0,0.000250249,0.0275526,223.987,1.0,9.16663e-08,328.336,-0.236871,0.00619728,0.0111976,0.0101577,6.2194e-05,0.000111689,0.000101116,9.82342e-06,1.12653e-05,7.3515199999999995e-06,88825.5,143939.0,184926.0,633.119,991.439,1375.44,20222000.0,32834800.0,42182600.0,140844.0,222464.0,308654
